ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,112.20847,32.130646;1,201.75604,31.172953;2,112.55444,120.295685;3,205.74248,118.94683;0.0;1739338665.1101294;1739338665.1101322#0#1739338665.11355#1739338665.11606
0,112.20847,32.130646;1,201.75604,31.172953;2,112.55444,120.295685;3,205.74248,118.94683;1739338665.1040714;1739338665.115883;0.011812448501586914#0.00472#1739338665.11607#1739338665.11749
0,111.93553,31.791203;1,201.72841,30.877415;2,112.434074,121.87354;3,205.18166,119.97116;1739338665.114087;1739338665.1225748;0.008488655090332031#0.00656#1739338665.12262#1739338665.12358
0,111.93553,31.791203;1,201.72841,30.877415;2,112.434074,121.87354;3,205.18166,119.97116;1739338665.114087;1739338665.1281154;0.014029264450073242#0.00554#1739338665.12816#1739338665.12961
0,112.12312,32.956615;1,202.31812,32.14293;2,111.95032,122.11795;3,205.49376,121.01935;1739338665.124122;1739338665.1333897;0.009268760681152344#0.00527#1739338665.13342#1739338665.13652
0,112.12312,32.956615;1,202.31812,32.14293;2,111.95032,122.11795;3,205.49376,121.01935;1739338665.124122;1739338665.1416779;0.01755690574645996#0.00831#1739338665.14173#1739338665.14256
0,112.36782,32.235363;1,202.81929,31.343958;2,111.536255,122.575195;3,205.36179,120.65496;1739338665.1340888;1739338665.1472993;0.013211488723754883#0.00562#1739338665.14736#1739338665.14861
0,112.40237,31.333038;1,202.05006,30.854733;2,111.32491,123.00096;3,204.99612,120.217384;1739338665.1441262;1739338665.1537335;0.009608030319213867#0.00643#1739338665.15379#1739338665.15471
0,112.10566,30.916357;1,201.86958,30.974876;2,111.84464,122.91369;3,204.56728,120.666435;1739338665.1441262;1739338665.1591053;0.014980316162109375#0.00537#1739338665.15916#1739338665.16071
0,111.71599,32.974094;1,202.63547,31.261147;2,112.73072,120.69192;3,205.11743,118.87052;1739338665.154107;1739338665.1653135;0.01120758056640625#0.00621#1739338665.16538#1739338665.16679
0,19.254204,127.516304;1,111.57411,122.62701;2,19.879524,217.04958;3,112.863495,217.87679;1739338665.1641178;1739338665.1717794;0.007662534713745117#0.00647#1739338665.17183#1739338665.17283
0,19.254204,127.516304;1,111.57411,122.62701;2,19.879524,217.04958;3,112.863495,217.87679;1739338665.1641178;1739338665.1771946;0.013077735900878906#0.00541#1739338665.17725#1739338665.17889
0,19.975428,127.74545;1,110.72232,123.281555;2,19.190605,217.057;3,112.73223,216.84264;1739338665.1741385;1739338665.1832047;0.009067058563232422#0.00601#1739338665.18326#1739338665.18497
0,19.975428,127.74545;1,110.72232,123.281555;2,19.190605,217.057;3,112.73223,216.84264;1739338665.1741385;1739338665.1899412;0.01580357551574707#0.00673#1739338665.18999#1739338665.19101
0,19.352741,127.594894;1,110.27225,122.256714;2,19.600348,217.17139;3,111.81882,216.18483;1739338665.184142;1739338665.195825;0.011684179306030273#0.00588#1739338665.19588#1739338665.19707
0,18.404224,126.85918;1,110.89426,122.63494;2,20.255362,216.86113;3,112.328896,216.67813;1739338665.1941516;1739338665.2018917;0.007741212844848633#0.00606#1739338665.20194#1739338665.20313
0,18.404224,126.85918;1,110.89426,122.63494;2,20.255362,216.86113;3,112.328896,216.67813;1739338665.1941516;1739338665.2073116;0.013160943984985352#0.00542#1739338665.20736#1739338665.20921
0,19.034622,127.695145;1,110.23504,123.20036;2,20.002542,216.81145;3,112.4322,217.4757;1739338665.204162;1739338665.213791;0.009630203247070312#0.00648#1739338665.21384#1739338665.21525
0,18.846973,127.73937;1,110.34926,123.08472;2,19.924723,218.07681;3,112.387054,217.33258;1739338665.204162;1739338665.220297;0.01613616943359375#0.00652#1739338665.22036#1739338665.22133
0,18.846973,127.73937;1,110.34926,123.08472;2,19.924723,218.07681;3,112.387054,217.33258;1739338665.2141604;1739338665.225892;0.01173257827758789#0.00559#1739338665.22594#1739338665.22738
0,19.363817,127.62851;1,109.808716,122.92196;2,19.35789,217.3311;3,112.289505,216.99716;1739338665.2241738;1739338665.2318358;0.007663726806640625#0.00594#1739338665.23188#1739338665.23343
0,19.363817,127.62851;1,109.808716,122.92196;2,19.35789,217.3311;3,112.289505,216.99716;1739338665.2241738;1739338665.2385297;0.01435708999633789#0.0067#1739338665.23858#1739338665.23951
0,19.22284,127.83126;1,110.486786,122.57793;2,20.486532,215.57635;3,112.030754,215.69008;1739338665.2341926;1739338665.243865;0.009673595428466797#0.00533#1739338665.24391#1739338665.24557
0,19.597137,127.60361;1,110.5474,123.29269;2,20.282232,217.6097;3,112.02657,217.04874;1739338665.2341926;1739338665.2503533;0.01616191864013672#0.00649#1739338665.25039#1739338665.25162
0,19.597137,127.60361;1,110.5474,123.29269;2,20.282232,217.6097;3,112.02657,217.04874;1739338665.244174;1739338665.256749;0.012575626373291016#0.0064#1739338665.2568#1739338665.25769
0,19.455889,127.61498;1,109.56957,124.1337;2,20.937855,217.11215;3,112.398224,218.24905;1739338665.2541978;1739338665.2621841;0.007987499237060547#0.00543#1739338665.26224#1739338665.26375
0,19.455889,127.61498;1,109.56957,124.1337;2,20.937855,217.11215;3,112.398224,218.24905;1739338665.2541978;1739338665.2684436;0.014246940612792969#0.00626#1739338665.26849#1739338665.26981
0,18.61072,127.24977;1,110.31142,123.01464;2,20.39379,217.96338;3,113.23286,216.74774;1739338665.264208;1739338665.2746744;0.010468006134033203#0.00624#1739338665.27473#1739338665.27587
0,19.849636,127.50905;1,110.45369,122.95443;2,19.337189,217.96835;3,112.141205,217.18735;1739338665.274222;1739338665.2805054;0.0062847137451171875#0.00583#1739338665.28056#1739338665.28193
0,19.849636,127.50905;1,110.45369,122.95443;2,19.337189,217.96835;3,112.141205,217.18735;1739338665.274222;1739338665.2870767;0.012856006622314453#0.00657#1739338665.28712#1739338665.288
