ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,129.24698,12.348845;1,217.94495,10.569179;2,129.26134,101.089714;3,221.92471,99.67517;1739252788.3357632;1739252788.351712;0.015949726104736328#0.0113#Open Loop#Open Loop
0,129.24698,12.348845;1,217.94495,10.569179;2,129.26134,101.089714;3,221.92471,99.67517;1739252788.3457558;1739252788.3590202;0.013265609741210938#0.00731#Open Loop#Open Loop
0,129.8718,12.416514;1,218.6023,10.876746;2,128.88353,100.91899;3,222.7058,100.2906;1739252788.355759;1739252788.3646488;0.008890867233276367#0.00563#Open Loop#Open Loop
0,129.8718,12.416514;1,218.6023,10.876746;2,128.88353,100.91899;3,222.7058,100.2906;1739252788.355759;1739252788.3713164;0.015558481216430664#0.00667#Open Loop#Open Loop
0,129.75702,12.913822;1,218.71881,10.073989;2,129.38557,100.81466;3,222.32289,99.97018;1739252788.3658297;1739252788.376456;0.010627508163452148#0.00514#Open Loop#Open Loop
0,130.31953,12.204725;1,220.14919,9.801411;2,128.67743,100.375694;3,222.1422,100.561584;1739252788.3757823;1739252788.382783;0.007001638412475586#0.00632#Open Loop#Open Loop
0,130.31953,12.204725;1,220.14919,9.801411;2,128.67743,100.375694;3,222.1422,100.561584;1739252788.3757823;1739252788.3889015;0.013120174407958984#0.00611#Open Loop#Open Loop
0,130.16757,12.589887;1,218.69136,9.5273285;2,129.13704,100.9838;3,222.89265,100.37551;1739252788.385781;1739252788.3946977;0.008917808532714844#0.0058#Open Loop#Open Loop
0,130.16757,12.589887;1,218.69136,9.5273285;2,129.13704,100.9838;3,222.89265,100.37551;1739252788.385781;1739252788.400899;0.015118837356567383#0.0062#Open Loop#Open Loop
0,129.5167,12.340624;1,217.7498,10.124597;2,128.90952,100.87861;3,221.99326,100.700806;1739252788.3957975;1739252788.4073224;0.011525869369506836#0.00643#Open Loop#Open Loop
