ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,48.20658,108.43832;1,142.25824,107.25982;2,47.693287,202.89282;3,140.27733,204.40596;0.0;1739415644.4576454;1739415644.4576476#0#1739415644.46105#Values Overwritten
0,48.20658,108.43832;1,142.25824,107.25982;2,47.693287,202.89282;3,140.27733,204.40596;1739415644.4523213;1739415644.4626398;0.010319948196411133#0.00395#1739415644.46286#1739415644.46636
0,48.960873,108.33941;1,141.91812,107.58284;2,47.241047,202.19594;3,140.59149,203.81102;1739415644.4625645;1739415644.4713283;0.00876474380493164#0.00852#1739415644.4714#1739415644.47249
0,48.960873,108.33941;1,141.91812,107.58284;2,47.241047,202.19594;3,140.59149,203.81102;1739415644.4625645;1739415644.4770343;0.014470815658569336#0.0057#1739415644.47709#1739415644.4785
0,48.24398,109.23409;1,142.05995,107.700134;2,47.162964,202.61487;3,139.8329,205.1492;1739415644.4723377;1739415644.4836388;0.011301994323730469#0.00661#1739415644.4837#1739415644.48455
0,47.67952,108.63137;1,141.14468,108.51985;2,46.88992,202.67966;3,139.78317,205.15509;1739415644.4823527;1739415644.4890966;0.006745100021362305#0.00545#1739415644.48914#1739415644.4906
0,47.67952,108.63137;1,141.14468,108.51985;2,46.88992,202.67966;3,139.78317,205.15509;1739415644.4823527;1739415644.4951637;0.012811899185180664#0.00607#1739415644.49522#1739415644.49667
0,47.24884,108.694984;1,139.94884,108.193275;2,46.773933,202.3426;3,139.81717,204.7138;1739415644.492344;1739415644.5013468;0.00900411605834961#0.00618#1739415644.50139#1739415644.50278
0,47.24884,108.694984;1,139.94884,108.193275;2,46.773933,202.3426;3,139.81717,204.7138;1739415644.492344;1739415644.5071802;0.014838695526123047#0.00584#1739415644.50723#1739415644.50879
0,47.455883,108.77704;1,140.16743,108.25165;2,46.47953,202.65295;3,140.173,204.91786;1739415644.5031564;1739415644.5135803;0.01042485237121582#0.0064#1739415644.51363#1739415644.51484
0,47.72384,108.61496;1,141.28471,107.7744;2,47.18358,202.14717;3,140.15152,203.93765;1739415644.5123608;1739415644.5198352;0.007475376129150391#0.00625#1739415644.51988#1739415644.5209
0,47.72384,108.61496;1,141.28471,107.7744;2,47.18358,202.14717;3,140.15152,203.93765;1739415644.5123608;1739415644.5254707;0.013110876083374023#0.00564#1739415644.52552#1739415644.52699
0,48.46719,108.934425;1,142.19855,107.78749;2,47.690956,202.88708;3,141.01538,204.22879;1739415644.5223606;1739415644.5315979;0.009238243103027344#0.00613#1739415644.53165#1739415644.53307
0,48.46719,108.934425;1,142.19855,107.78749;2,47.690956,202.88708;3,141.01538,204.22879;1739415644.5223606;1739415644.5376663;0.015306949615478516#0.00608#1739415644.53773#1739415644.53909
0,49.548286,107.99952;1,143.22868,107.63901;2,48.82011,202.70543;3,141.67732,203.57906;1739415644.5323887;1739415644.5435529;0.011165142059326172#0.00588#1739415644.5436#1739415644.54514
0,48.64026,108.12347;1,142.68321,107.42497;2,48.51923,202.67311;3,140.64998,203.69786;1739415644.5423787;1739415644.549768;0.007390022277832031#0.00622#1739415644.54983#1739415644.55121
0,48.64026,108.12347;1,142.68321,107.42497;2,48.51923,202.67311;3,140.64998,203.69786;1739415644.5423787;1739415644.5554676;0.013089895248413086#0.0057#1739415644.55552#1739415644.55727
0,47.47806,107.252975;1,141.93953,106.69618;2,46.512344,201.11832;3,139.99323,204.43755;1739415644.5524173;1739415644.5615928;0.009176492691040039#0.00612#1739415644.56164#1739415644.56333
0,47.47806,107.252975;1,141.93953,106.69618;2,46.512344,201.11832;3,139.99323,204.43755;1739415644.5524173;1739415644.5681212;0.015704870223999023#0.00653#1739415644.56817#1739415644.5694
