ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,33.011745,121.71566;1,126.65214,120.21738;2,35.893272,214.0003;3,127.404495,213.68889;1739246899.0469625;1739246899.0707242;0.023762941360473633#0#PreStim#PreStim
0,33.757652,121.34862;1,126.91103,120.423004;2,37.06959,214.0072;3,127.68696,214.3382;1739246899.0669556;1739246899.1033022;0.03634810447692871#0.03184#PreStim#PreStim
0,33.14719,121.71831;1,126.76557,120.46869;2,36.064743,213.72449;3,127.70549,213.76341;1739246899.097052;1739246899.1092622;0.012211084365844727#0.00577#PreStim#PreStim
0,33.304375,121.469635;1,127.08949,120.163704;2,36.13535,213.59778;3,127.70951,213.79723;1739246899.1070137;1739246899.1203723;0.013359546661376953#0.01111#PreStim#PreStim
0,33.19267,122.36173;1,126.75959,120.42576;2,36.23755,214.6923;3,126.954636,214.03116;1739246899.1170077;1739246899.1268933;0.00988626480102539#0.00653#PreStim#PreStim
0,33.19267,122.36173;1,126.75959,120.42576;2,36.23755,214.6923;3,126.954636,214.03116;1739246899.1170077;1739246899.1443644;0.02735757827758789#0.01747#PreStim#PreStim
0,33.478455,122.162605;1,127.45464,120.52977;2,36.681927,213.4269;3,127.94856,213.29442;1739246899.13704;1739246899.1635354;0.026496410369873047#0.01917#PreStim#PreStim
0,34.041294,120.651344;1,127.241104,120.62099;2,36.89965,213.48372;3,128.20235,213.69072;1739246899.1570678;1739246899.1767697;0.019702672958374023#0.01325#PreStim#PreStim
0,33.41443,121.23183;1,126.97605,120.7279;2,36.263355,213.69743;3,127.46215,213.25693;1739246899.1670804;1739246899.1839929;0.016913652420043945#0.00723#PreStim#PreStim
0,33.41443,121.23183;1,126.97605,120.7279;2,36.263355,213.69743;3,127.46215,213.25693;1739246899.1770754;1739246899.189517;0.012442350387573242#0.00552#PreStim#PreStim
0,33.514767,121.90167;1,127.42044,120.69285;2,36.58807,213.7191;3,127.856476,213.3119;1739246899.187093;1739246899.1950767;0.007984638214111328#0.00554#PreStim#PreStim
0,33.514767,121.90167;1,127.42044,120.69285;2,36.58807,213.7191;3,127.856476,213.3119;1739246899.187093;1739246899.2011116;0.014019250869750977#0.00603#PreStim#PreStim
0,33.770054,121.5307;1,126.924545,120.479065;2,36.655712,213.39502;3,127.74762,213.6183;1739246899.1970692;1739246899.2083442;0.011276483535766602#0.00725#PreStim#PreStim
0,33.195786,120.992096;1,127.058235,119.896;2,36.03116,213.71906;3,127.464775,214.02206;1739246899.2071009;1739246899.2219954;0.014895439147949219#0.01364#PreStim#PreStim
0,33.043514,121.126785;1,127.18155,120.007385;2,36.801636,213.36131;3,127.06024,214.31635;1739246899.217147;1739246899.2362945;0.01914834976196289#0.01429#PreStim#PreStim
0,33.1037,121.21475;1,126.86919,120.06048;2,36.465126,213.51749;3,127.72876,213.85443;1739246899.2271132;1739246899.2489223;0.021810054779052734#0.01263#PreStim#PreStim
0,32.701607,121.76172;1,126.96347,119.94866;2,36.757317,213.93234;3,127.62085,213.85133;1739246899.2471051;1739246899.2621508;0.01504659652709961#0.01323#PreStim#PreStim
0,33.750847,120.43315;1,126.84256,120.26033;2,36.35174,214.26187;3,127.88123,214.30585;1739246899.257168;1739246899.2752755;0.018108606338500977#0.01313#PreStim#PreStim
0,33.008907,121.3252;1,126.884796,120.745636;2,37.015854,214.14723;3,127.370895,214.2859;1739246899.26713;1739246899.288861;0.021732091903686523#0.01358#PreStim#PreStim
0,33.496952,122.15552;1,126.7694,120.352295;2,36.090973,214.02081;3,128.03842,213.76387;1739246899.287149;1739246899.3035111;0.016363859176635742#0.01465#PreStim#PreStim
0,33.26558,121.26439;1,127.72655,120.51051;2,36.62657,213.43639;3,127.96151,213.76149;1739246899.2971728;1739246899.3159828;0.01881098747253418#0.01247#PreStim#PreStim
0,33.094967,121.34955;1,127.779945,120.310646;2,36.753204,213.39282;3,127.63632,213.97182;1739246899.3071904;1739246899.3303025;0.023112773895263672#0.01432#PreStim#PreStim
0,32.86673,121.39699;1,127.2491,120.36756;2,35.73111,213.9542;3,127.68783,214.31175;1739246899.3271716;1739246899.344609;0.017438411712646484#0.01431#PreStim#PreStim
0,33.209324,122.33078;1,127.197365,120.85186;2,36.793095,213.75404;3,127.28962,213.43813;1739246899.3371882;1739246899.3582764;0.02108931541442871#0.01367#PreStim#PreStim
0,33.49676,121.207146;1,127.45127,120.17443;2,36.60524,213.36371;3,127.7496,214.09647;1739246899.3572063;1739246899.3716462;0.014440774917602539#0.01337#PreStim#PreStim
0,33.15791,121.269;1,127.12012,120.01899;2,36.889652,213.76578;3,127.6113,214.15555;1739246899.3672016;1739246899.3847904;0.01759028434753418#0.01314#PreStim#PreStim
0,33.805767,121.393456;1,127.443634,120.251175;2,36.294407,213.2251;3,127.78913,214.29318;1739246899.3772385;1739246899.3978689;0.020632266998291016#0.01308#PreStim#PreStim
0,33.397747,120.77107;1,127.31749,120.064674;2,36.601444,213.33534;3,128.27525,213.1559;1739246899.3972526;1739246899.412161;0.014909505844116211#0.01429#PreStim#PreStim
0,33.26324,120.40637;1,127.74243,119.95524;2,36.63375,213.39516;3,127.449,213.70018;1739246899.4072733;1739246899.4257784;0.01850605010986328#0.01362#PreStim#PreStim
0,33.22123,121.53981;1,127.36916,119.89309;2,36.95665,213.81406;3,127.74691,213.74757;1739246899.417264;1739246899.4390702;0.021807193756103516#0.01329#PreStim#PreStim
0,33.09767,122.17838;1,127.68284,119.83949;2,36.9377,213.40686;3,128.17706,212.71208;1739246899.437284;1739246899.4524627;0.01517939567565918#0.01339#PreStim#PreStim
0,33.308586,121.72166;1,127.36285,120.11722;2,37.298447,213.66762;3,128.37178,214.13788;1739246899.4472961;1739246899.4665787;0.019283533096313477#0.01411#PreStim#PreStim
0,34.038624,121.22884;1,128.44215,120.964615;2,37.42656,213.88405;3,127.72588,214.43256;1739246899.4573114;1739246899.4802814;0.022970914840698242#0.0137#PreStim#PreStim
0,33.786873,122.09999;1,127.449936,120.57327;2,36.283012,214.0269;3,127.992516,214.56143;1739246899.4772892;1739246899.4932985;0.016010284423828125#0.01302#PreStim#PreStim
0,32.563663,121.86261;1,127.676506,120.45419;2,36.65197,213.71207;3,127.89776,213.15765;1739246899.487322;1739246899.5068295;0.01950860023498535#0.01353#PreStim#PreStim
0,33.37848,121.586945;1,127.37285,120.23376;2,36.538292,213.42584;3,127.64682,214.88733;1739246899.4973524;1739246899.5213668;0.024015426635742188#0.01454#PreStim#PreStim
0,33.572933,121.80669;1,127.9329,119.94876;2,37.01113,214.09583;3,127.56215,214.34126;1739246899.5173469;1739246899.5351045;0.017758607864379883#0.01373#PreStim#PreStim
0,34.16294,121.15275;1,127.45213,120.223404;2,36.51813,213.54309;3,127.92292,213.34644;1739246899.527358;1739246899.5476303;0.020273923873901367#0.01253#PreStim#PreStim
0,33.00713,121.37331;1,127.1499,120.09211;2,36.6627,213.05554;3,127.71941,213.2142;1739246899.547384;1739246899.5604396;0.013057470321655273#0.01281#PreStim#PreStim
0,33.142967,121.50081;1,127.388725,119.82534;2,36.385624,213.15956;3,127.97379,213.42165;1739246899.557394;1739246899.575139;0.017746686935424805#0.0147#1739246899.57595#1739246899.5805
0,33.44328,121.7723;1,127.76315,119.90561;2,36.686165,213.71867;3,127.994965,214.27118;1739246899.5674026;1739246899.592562;0.025160789489746094#0.01743#1739246899.59263#1739246899.59628
0,33.644146,120.990265;1,127.73038,120.39704;2,36.667168,213.51538;3,128.44344,213.25711;1739246899.5874007;1739246899.6099484;0.022548913955688477#0.01738#1739246899.61001#1739246899.61715
0,33.797256,121.11706;1,127.72057,119.85432;2,36.444237,213.48;3,127.87335,214.37517;1739246899.6074212;1739246899.6250174;0.017597436904907227#0.01507#1739246899.62508#1739246899.633
0,33.911564,121.51432;1,127.079926,119.85441;2,36.788357,214.46692;3,127.85705,214.24643;1739246899.617461;1739246899.6422179;0.02475905418395996#0.01721#1739246899.64229#1739246899.64776
0,32.595478,121.93423;1,127.51508,120.308975;2,36.61913,213.5426;3,128.28087,214.00046;1739246899.6374466;1739246899.6594656;0.02202010154724121#0.01724#1739246899.65953#1739246899.66673
0,33.832573,120.803116;1,127.63693,120.49792;2,36.949562,213.48071;3,128.29866,213.27415;1739246899.6574955;1739246899.674621;0.017127275466918945#0.01516#1739246899.67469#1739246899.67982
0,33.122334,121.50841;1,127.81774,120.27852;2,37.071754,214.31651;3,128.27007,214.37141;1739246899.667469;1739246899.6923387;0.024871349334716797#0.01772#1739246899.69241#1739246899.69591
0,34.053043,121.58915;1,128.29648,120.15678;2,36.925983,213.57162;3,128.52873,213.54805;1739246899.6875002;1739246899.7082317;0.020732879638671875#0.01589#1739246899.7083#1739246899.71835
0,33.423733,121.04902;1,128.04033,120.27249;2,36.98121,213.4094;3,127.87959,214.10861;1739246899.7075076;1739246899.724934;0.017428159713745117#0.0167#1739246899.725#1739246899.7303
