ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,49.049675,108.75023;1,141.12518,108.27396;2,47.21224,202.07129;3,140.75093,204.12964;1739415647.8051248;1739415647.817403;0.012279987335205078#0.01739#Open Loop#Open Loop
0,48.95497,108.15788;1,142.82874,107.606926;2,47.80824,203.1746;3,140.3871,204.70862;1739415647.8151557;1739415647.8254457;0.010291337966918945#0.00805#Open Loop#Open Loop
0,49.249058,108.64944;1,142.46658,107.464005;2,47.03947,202.30885;3,140.43306,204.05595;1739415647.8251474;1739415647.8303864;0.005239963531494141#0.00493#Open Loop#Open Loop
0,49.249058,108.64944;1,142.46658,107.464005;2,47.03947,202.30885;3,140.43306,204.05595;1739415647.8251474;1739415647.8358765;0.010730504989624023#0.0055#Open Loop#Open Loop
0,48.80909,108.74183;1,142.47879,107.67648;2,47.4377,202.75133;3,140.57472,204.05272;1739415647.8351426;1739415647.840922;0.005780458450317383#0.00504#Open Loop#Open Loop
0,48.80909,108.74183;1,142.47879,107.67648;2,47.4377,202.75133;3,140.57472,204.05272;1739415647.8351426;1739415647.8470347;0.011893033981323242#0.00611#Open Loop#Open Loop
0,48.70028,108.285034;1,142.10124,107.39102;2,47.408146,202.38826;3,140.58331,204.7616;1739415647.8451653;1739415647.8533623;0.008198022842407227#0.00633#Open Loop#Open Loop
0,48.70028,108.285034;1,142.10124,107.39102;2,47.408146,202.38826;3,140.58331,204.7616;1739415647.8451653;1739415647.8596942;0.014529943466186523#0.00633#Open Loop#Open Loop
0,48.26755,108.061295;1,140.92448,108.12059;2,46.75824,202.43236;3,140.36201,204.66464;1739415647.8560963;1739415647.8661497;0.010054349899291992#0.00645#Open Loop#Open Loop
0,47.690166,108.567276;1,141.11441,106.99163;2,46.20094,202.86012;3,140.24643,204.7799;1739415647.8651898;1739415647.8715975;0.00640869140625#0.00545#Open Loop#Open Loop
0,47.690166,108.567276;1,141.11441,106.99163;2,46.20094,202.86012;3,140.24643,204.7799;1739415647.8651898;1739415647.877356;0.012166976928710938#0.00576#Open Loop#Open Loop
0,47.54383,109.86428;1,140.79944,109.39021;2,46.22887,203.59927;3,139.68451,205.67783;1739415647.8751903;1739415647.883743;0.008553743362426758#0.00639#Open Loop#Open Loop
0,47.54383,109.86428;1,140.79944,109.39021;2,46.22887,203.59927;3,139.68451,205.67783;1739415647.8751903;1739415647.8897603;0.014570951461791992#0.00602#Open Loop#Open Loop
0,47.81951,109.90181;1,141.1452,108.92804;2,46.66285,202.55594;3,140.6087,204.55884;1739415647.8851993;1739415647.8956475;0.010449647903442383#0.0059#Open Loop#Open Loop
0,48.032116,107.86195;1,142.1279,106.784325;2,47.10719,201.51967;3,140.32414,203.86998;1739415647.8952134;1739415647.9023898;0.0071773529052734375#0.00674#Open Loop#Open Loop
0,48.032116,107.86195;1,142.1279,106.784325;2,47.10719,201.51967;3,140.32414,203.86998;1739415647.8952134;1739415647.9077616;0.012549400329589844#0.00537#Open Loop#Open Loop
0,48.395496,107.82964;1,141.9024,106.967804;2,47.41546,201.57022;3,140.72664,203.62637;1739415647.9052238;1739415647.9137652;0.008542299270629883#0.006#Open Loop#Open Loop
0,48.395496,107.82964;1,141.9024,106.967804;2,47.41546,201.57022;3,140.72664,203.62637;1739415647.9052238;1739415647.9200404;0.01481771469116211#0.00628#Open Loop#Open Loop
0,49.542824,108.0866;1,143.16113,107.04675;2,48.9727,203.55693;3,141.12514,204.60394;1739415647.9152222;1739415647.9259875;0.01076650619506836#0.00595#Open Loop#Open Loop
0,49.23872,109.0048;1,142.99422,108.49943;2,47.722645,204.2168;3,140.9812,205.76974;1739415647.9252338;1739415647.9318898;0.0066568851470947266#0.0059#Open Loop#Open Loop
0,49.23872,109.0048;1,142.99422,108.49943;2,47.722645,204.2168;3,140.9812,205.76974;1739415647.9252338;1739415647.9379284;0.01270294189453125#0.00605#Open Loop#Open Loop
0,48.60203,109.53483;1,141.08159,109.822334;2,46.94118,203.46312;3,140.27217,205.05612;1739415647.9352598;1739415647.944223;0.008964300155639648#0.00629#Open Loop#Open Loop
0,48.60203,109.53483;1,141.08159,109.822334;2,46.94118,203.46312;3,140.27217,205.05612;1739415647.9352598;1739415647.9503775;0.015118598937988281#0.00615#Open Loop#Open Loop
0,48.251804,109.755165;1,140.84355,109.57557;2,46.751617,203.64796;3,139.49448,206.78026;1739415647.9452434;1739415647.956331;0.01108860969543457#0.00596#Open Loop#Open Loop
0,46.95382,109.03196;1,139.5755,108.07303;2,46.5609,202.77217;3,138.2617,204.4469;1739415647.9552474;1739415647.9621968;0.00695037841796875#0.00586#Open Loop#Open Loop
0,46.95382,109.03196;1,139.5755,108.07303;2,46.5609,202.77217;3,138.2617,204.4469;1739415647.9552474;1739415647.9684134;0.013167381286621094#0.00622#Open Loop#Open Loop
0,46.809273,107.88115;1,140.19951,107.78787;2,46.31978,202.41843;3,138.73787,204.22885;1739415647.965266;1739415647.974387;0.00912165641784668#0.00597#Open Loop#Open Loop
0,46.809273,107.88115;1,140.19951,107.78787;2,46.31978,202.41843;3,138.73787,204.22885;1739415647.965266;1739415647.9803731;0.015108346939086914#0.00599#Open Loop#Open Loop
