ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,129.0716,13.254795;1,217.92368,11.428872;2,128.5235,101.67948;3,221.50687,101.497574;1739252783.9721348;1739252783.9902132;0.01807999610900879#0.03219#Open Loop#Open Loop
0,33.616894,105.63801;1,127.387825,104.40214;2,36.01482,195.96222;3,128.45042,197.98424;1739252783.9821365;1739252783.9954646;0.013328790664672852#0.00525#Open Loop#Open Loop
0,34.51148,105.792656;1,127.24471,104.31461;2,36.49197,196.38895;3,128.36523,197.46828;1739252783.992126;1739252784.0004835;0.008358955383300781#0.00502#Open Loop#Open Loop
0,34.51148,105.792656;1,127.24471,104.31461;2,36.49197,196.38895;3,128.36523,197.46828;1739252783.992126;1739252784.0069354;0.014811038970947266#0.00645#Open Loop#Open Loop
0,35.169514,104.94397;1,128.47728,103.863625;2,37.24852,196.01859;3,128.55867,197.38956;1739252784.003119;1739252784.012854;0.009736299514770508#0.00592#Open Loop#Open Loop
0,34.96515,104.17273;1,128.0878,102.89853;2,36.52601,195.44731;3,129.66632,196.95158;1739252784.0121548;1739252784.0188913;0.006737470626831055#0.00603#Open Loop#Open Loop
0,34.96515,104.17273;1,128.0878,102.89853;2,36.52601,195.44731;3,129.66632,196.95158;1739252784.0121548;1739252784.0251312;0.012977361679077148#0.00624#Open Loop#Open Loop
0,35.26294,103.64692;1,128.098,102.771416;2,37.36359,195.03809;3,129.56732,196.58032;1739252784.0221689;1739252784.0308912;0.00872349739074707#0.00576#Open Loop#Open Loop
0,35.26294,103.64692;1,128.098,102.771416;2,37.36359,195.03809;3,129.56732,196.58032;1739252784.0221689;1739252784.037805;0.01563715934753418#0.00692#Open Loop#Open Loop
0,37.163624,103.33097;1,129.23497,103.21591;2,37.69781,194.85594;3,129.6672,196.63089;1739252784.0321677;1739252784.0430079;0.010841131210327148#0.0052#Open Loop#Open Loop
0,35.525578,103.57455;1,128.4862,103.77619;2,36.61145,194.65608;3,128.28542,195.67696;1739252784.0421693;1739252784.049091;0.006922721862792969#0.00609#Open Loop#Open Loop
0,35.525578,103.57455;1,128.4862,103.77619;2,36.61145,194.65608;3,128.28542,195.67696;1739252784.0421693;1739252784.0555868;0.013418436050415039#0.00649#Open Loop#Open Loop
0,34.8007,102.49924;1,128.01889,102.549286;2,35.866356,194.42526;3,128.78008,196.6042;1739252784.0522082;1739252784.0614154;0.009208202362060547#0.00583#Open Loop#Open Loop
