ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,48.630096,114.38655;1,138.66876,111.70175;2,50.84789,206.49838;3,143.90865,205.08203;0.0;1739254496.849869;1739254496.8498716#0#1739254496.85324#Values Overwritten
0,48.630096,114.38655;1,138.66876,111.70175;2,50.84789,206.49838;3,143.90865,205.08203;1739254496.8440168;1739254496.8550766;0.011060953140258789#0.00417#1739254496.85527#1739254496.85874
0,47.77764,115.16878;1,140.30858,112.04243;2,50.607197,206.5433;3,144.46667,205.66754;1739254496.8540196;1739254496.8634663;0.00944828987121582#0.00826#1739254496.86353#1739254496.86485
0,47.77764,115.16878;1,140.30858,112.04243;2,50.607197,206.5433;3,144.46667,205.66754;1739254496.8540196;1739254496.8695416;0.015523433685302734#0.00607#1739254496.8696#1739254496.87085
0,47.89367,116.0596;1,138.71944,112.70149;2,51.37798,205.80685;3,141.64983,204.91443;1739254496.8640287;1739254496.8758209;0.011793136596679688#0.00628#1739254496.87588#1739254496.87693
0,48.331665,114.90757;1,137.78232,111.58819;2,50.09786,206.29973;3,141.84938,204.3014;1739254496.8740273;1739254496.881686;0.0076596736907958984#0.00586#1739254496.88173#1739254496.88298
0,48.331665,114.90757;1,137.78232,111.58819;2,50.09786,206.29973;3,141.84938,204.3014;1739254496.8740273;1739254496.887668;0.013641595840454102#0.00599#1739254496.88774#1739254496.88906
0,47.575726,114.88344;1,139.2941,111.82641;2,51.045002,205.56438;3,142.19572,205.48146;1739254496.884046;1739254496.8946211;0.010576725006103516#0.00695#1739254496.89468#1739254496.89508
0,47.83727,114.55598;1,137.33498,111.245575;2,50.436665,205.9206;3,142.38771,205.65459;1739254496.8940463;1739254496.8995063;0.005461215972900391#0.00488#1739254496.89957#1739254496.90114
0,47.83727,114.55598;1,137.33498,111.245575;2,50.436665,205.9206;3,142.38771,205.65459;1739254496.8940463;1739254496.9054947;0.011449575424194336#0.00599#1739254496.90555#1739254496.90721
0,47.840252,115.1147;1,138.82487,111.86359;2,51.384117,205.82198;3,143.8929,204.70566;1739254496.904069;1739254496.9120133;0.00794529914855957#0.00652#1739254496.91207#1739254496.91329
0,47.840252,115.1147;1,138.82487,111.86359;2,51.384117,205.82198;3,143.8929,204.70566;1739254496.904069;1739254496.9179842;0.013916015625#0.00597#1739254496.91804#1739254496.91935
0,47.365578,115.18678;1,138.39297,112.31994;2,50.854877,205.85931;3,141.30167,205.0869;1739254496.914085;1739254496.92412;0.010036468505859375#0.00614#1739254496.92418#1739254496.9254
0,47.224583,115.54924;1,138.66331,112.355545;2,50.28288,206.72562;3,141.85101,204.64058;1739254496.924067;1739254496.9299376;0.005871772766113281#0.00581#1739254496.92999#1739254496.93144
0,47.224583,115.54924;1,138.66331,112.355545;2,50.28288,206.72562;3,141.85101,204.64058;1739254496.924067;1739254496.9359658;0.011899709701538086#0.00603#1739254496.93602#1739254496.93751
0,47.64638,115.44924;1,139.21767,111.807014;2,51.229313,206.13376;3,141.88689,205.1015;1739254496.9340918;1739254496.9421165;0.008025884628295898#0.00615#1739254496.94217#1739254496.94356
